Sample.ID,Field,Blk,Topdress,Stage,fertiliser_N,soil_N,Days
107 112 PI,CR,1,N,PrePlant,0,0,0
207 212 PI,CR,2,N,PrePlant,0,0,0
307 312 PI,CR,3,N,PrePlant,0,0,0
101 106 PI,RF,1,N,PrePlant,0,0,0
201 206 PI,RF,2,N,PrePlant,0,0,0
301 306 PI,RF,3,N,PrePlant,0,0,0
107 112 PI,CR,1,N,PI,48.45660975,53.98136349,47
207 212 PI,CR,2,N,PI,36.95897993,49.57674549,47
307 312 PI,CR,3,N,PI,41.85950565,60.0041449,47
101 106 PI,RF,1,N,PI,46.69259531,71.38568684,47
201 206 PI,RF,2,N,PI,36.24239533,62.10874532,47
301 306 PI,RF,3,N,PI,37.7952526,48.27503439,47
107 112 plus H,CR,1,Y,H,10.99305396,71.92630063,81
207 212 plus H,CR,2,Y,H,9.786857389,65.79253156,81
307 312 plus H,CR,3,Y,H,9.188306744,59.79759018,81
101 106 plus H,RF,1,Y,H,9.300836217,80.87632037,81
201 206 plus H,RF,2,Y,H,10.04937691,73.55057929,81
301 306 plus H,RF,3,Y,H,8.738839768,72.23870221,81
107 112 minus H,CR,1,N,H,53.8483904,76.91349174,81
207 212 minus H,CR,2,N,H,40.46363476,74.45722511,81
307 312 minus H,CR,3,N,H,36.86017209,70.25881018,81
101 106 minus H,RF,1,N,H,51.04524659,94.67835593,81
201 206 minus H,RF,2,N,H,27.230696,80.92067958,81
301 306 minus H,RF,3,N,H,38.14242564,90.0942956,81
107 112 plus M,CR,1,Y,Maturity,10.22601988,81.16692671,124
207 212 plus M,CR,2,Y,Maturity,8.860593689,93.74112786,124
307 312 plus M,CR,3,Y,Maturity,9.135192938,76.86107018,124
101 106 plus M,RF,1,Y,Maturity,11.52272289,102.5728212,124
201 206 plus M,RF,2,Y,Maturity,11.34159966,96.99844744,124
301 306 plus M,RF,3,Y,Maturity,7.61788287,94.44368551,124
107 112 minus M,CR,1,N,Maturity,58.05067534,100.9394038,124
207 212 minus M,CR,2,N,Maturity,42.52962678,91.60364456,124
307 312 minus M,CR,3,N,Maturity,49.35097982,89.77114826,124
101 106 minus M,RF,1,N,Maturity,56.07480974,122.773552,124
201 206 minus M,RF,2,N,Maturity,50.63828081,109.0810986,124
301 306 minus M,RF,3,N,Maturity,47.32511163,111.0633732,124
